round,p1_gold_this,p2_gold_this,p1_cum,p2_cum,total_cum,p1_pos_r,p1_pos_c,p2_pos_r,p2_pos_c,p1_bombs,p2_bombs,enemy_cum,gold_on_map,k,order,vp,p1_steps,p2_steps,p1_collisions,p2_collisions,vision_cost,cum_vision_cost,snap_valid,snap_win_begin,snap_win_end,snap_r1_gold,snap_r1_occ,snap_r2_gold,snap_r2_occ,snap_r3_gold,snap_r3_occ,snap_r4_gold,snap_r4_occ,snap_r5_gold,snap_r5_occ
0,0,0,0,0,0,1,15,16,0,0,0,5,90,4,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,3,16,16,0,0,0,8,98,4,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,3,15,16,2,0,0,11,105,4,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,2,14,16,1,0,0,11,133,4,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,2,12,16,1,1,0,12,151,4,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,1,14,16,1,0,0,12,165,4,0,1,4,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,1,15,16,1,0,0,12,184,4,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,1,15,16,3,0,0,12,201,4,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,15,16,4,0,0,12,220,4,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,14,14,4,0,0,12,247,4,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,15,15,5,0,0,12,258,4,0,1,4,2,0,0,1,2,1,0,10,37,0,65,0,70,0,38,0,48,0
11,0,0,0,0,0,1,15,16,5,0,1,12,266,4,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,0,0,0,1,15,16,3,0,0,12,277,4,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,2,14,14,3,0,1,12,277,4,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,5,0,5,5,3,15,13,2,0,0,12,272,4,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,3,3,3,13,12,3,0,1,14,278,4,0,1,4,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
16,4,0,4,3,7,4,12,12,3,0,0,15,273,4,0,0,4,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
17,1,0,5,3,8,4,15,12,2,0,0,19,268,4,0,0,4,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,5,3,8,4,15,12,3,0,0,21,278,4,0,0,4,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,0,5,3,8,5,15,12,3,0,0,26,274,4,0,0,4,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
20,3,0,7,3,10,5,12,11,2,0,0,26,272,4,0,1,4,2,0,0,1,4,1,10,20,37,0,74,0,75,0,41,0,45,0
21,2,0,9,3,12,5,13,12,3,0,0,26,286,4,0,0,4,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
22,5,0,14,3,17,6,13,11,2,0,0,26,286,4,0,0,4,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
23,2,0,16,3,19,7,15,10,1,0,0,31,279,4,0,0,4,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
24,3,0,19,3,22,9,15,10,1,0,0,37,286,4,0,0,4,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1,0,19,3,22,8,16,10,3,0,0,43,283,4,0,1,4,2,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,19,3,22,8,16,9,2,0,0,46,287,4,0,0,4,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,19,3,22,8,16,9,2,0,0,49,293,4,0,0,4,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,19,3,22,8,16,8,1,0,0,55,288,4,0,0,4,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,19,3,22,7,15,7,1,0,0,58,286,4,0,0,4,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
30,1,0,19,3,22,7,13,6,2,0,0,61,297,4,0,1,4,2,0,0,1,6,1,20,30,36,0,86,0,75,0,50,0,50,0
31,0,3,17,6,23,7,12,7,2,1,0,68,289,4,0,0,4,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,17,6,23,6,13,7,2,0,0,73,291,4,0,0,4,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
33,9,0,26,6,32,5,11,8,3,0,0,77,288,4,0,0,4,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
34,14,0,40,6,46,4,8,8,3,0,0,81,281,4,0,0,4,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2,2,41,8,49,4,8,8,4,0,0,83,282,4,0,1,4,2,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
36,8,0,49,8,57,4,7,8,3,0,0,83,298,4,0,0,4,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0,0,47,8,55,3,7,8,1,1,0,83,303,4,0,0,4,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
38,10,0,57,8,65,4,10,7,1,0,0,95,284,4,0,0,4,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
39,7,0,64,8,72,1,10,7,0,0,0,106,285,4,0,0,4,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
40,8,0,71,8,79,0,9,7,0,0,0,114,285,4,0,1,4,2,0,0,1,8,1,30,40,35,0,74,0,72,0,56,0,48,0
41,0,0,71,8,79,1,10,8,0,0,0,119,292,4,0,0,4,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
42,4,0,75,8,83,1,6,8,0,0,0,128,290,4,0,0,4,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
43,0,0,75,8,83,1,5,8,0,0,0,130,296,4,0,0,4,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
