round,p1_gold_this,p2_gold_this,p1_cum,p2_cum,total_cum,p1_pos_r,p1_pos_c,p2_pos_r,p2_pos_c,p1_bombs,p2_bombs,enemy_cum,gold_on_map,k,order,vp,p1_steps,p2_steps,p1_collisions,p2_collisions
0,0,0,0,0,0,0,16,17,0,0,0,1,115,4,0,0,4,2,0,0
1,0,0,0,0,0,0,15,16,0,0,0,1,120,4,0,0,4,2,0,0
2,4,0,4,0,4,1,16,16,0,0,0,1,128,4,0,0,4,2,0,0
3,0,0,4,0,4,1,15,15,0,0,0,1,138,4,0,0,4,2,0,0
4,0,0,4,0,4,1,16,13,0,0,0,3,142,4,0,0,4,2,0,0
5,0,0,4,0,4,2,16,14,1,0,0,5,147,4,0,0,4,2,0,0
6,0,2,4,2,6,1,16,13,2,0,0,5,150,4,0,0,4,2,0,0
7,0,0,4,0,4,2,15,13,3,0,1,5,155,4,0,0,4,2,0,0
8,0,0,4,0,4,1,14,14,3,0,0,5,164,4,0,0,4,2,0,0
9,5,0,9,0,9,3,12,15,3,0,0,5,172,4,0,0,4,2,0,0
10,0,0,9,0,9,5,12,15,3,0,0,5,179,4,0,0,4,2,0,0
11,0,0,9,0,9,4,10,15,3,0,0,5,189,4,0,0,4,2,0,0
12,0,0,9,0,9,4,11,16,2,0,0,5,194,4,0,0,4,2,0,0
13,0,0,9,0,9,4,11,15,2,0,0,15,190,4,0,0,4,2,0,0
14,0,0,9,0,9,4,10,16,2,0,0,16,199,4,0,0,4,2,0,0
15,0,0,9,0,9,4,10,16,2,0,0,16,209,4,0,0,4,2,0,0
16,0,0,9,0,9,3,12,16,2,0,0,20,218,4,0,0,4,2,0,0
17,3,0,12,0,12,3,13,15,2,0,0,20,229,4,0,0,4,2,0,0
18,0,5,12,5,17,3,13,14,1,0,0,18,234,4,0,0,4,2,0,0
19,1,6,13,11,24,4,14,15,0,0,0,18,237,4,0,0,4,2,0,0
20,4,0,17,9,26,4,15,15,1,0,1,18,244,4,0,0,4,2,0,0
21,5,5,22,14,36,3,14,14,1,0,0,19,243,4,0,0,4,2,0,0
22,0,2,22,16,38,0,14,13,1,0,0,19,253,4,0,0,4,2,0,0
23,5,4,27,20,47,2,16,13,1,0,0,19,259,4,0,0,4,2,0,0
24,0,0,27,20,47,2,15,12,0,0,0,20,264,4,0,0,4,2,0,0
25,0,0,27,20,47,3,16,12,0,0,0,20,274,4,0,0,4,2,0,0
26,5,0,32,20,52,0,16,12,1,0,0,20,280,4,0,0,4,2,0,0
27,1,4,33,24,57,0,15,11,2,0,0,20,285,4,0,0,4,2,0,0
28,0,4,33,28,61,0,16,12,3,0,0,20,291,4,0,0,4,2,0,0
29,0,0,33,28,61,0,15,12,3,0,0,20,297,4,0,0,4,2,0,0
30,0,2,33,30,63,1,14,12,4,0,0,20,307,4,0,0,4,2,0,0
31,0,5,33,35,68,3,14,11,5,0,0,20,311,4,0,0,4,2,0,0
32,0,0,33,35,68,5,15,12,5,0,0,22,315,4,0,0,4,2,0,0
33,0,0,33,35,68,5,15,13,5,0,0,22,330,4,0,0,4,2,0,0
34,0,4,33,39,72,5,14,12,6,0,0,22,336,4,0,0,4,2,0,0
35,0,5,33,44,77,4,15,12,6,0,0,26,342,4,0,0,4,2,0,0
36,4,0,37,44,81,4,16,10,6,0,0,27,347,4,0,0,4,2,0,0
37,0,0,37,44,81,4,16,10,6,0,0,28,355,4,0,0,4,2,0,0
38,0,2,37,46,83,3,13,10,6,0,0,28,366,4,0,0,4,2,0,0
39,4,1,39,47,86,1,12,12,6,1,0,29,365,4,0,0,4,2,0,0
40,5,0,44,47,91,0,12,12,6,0,0,29,367,4,0,0,4,2,0,0
41,0,0,44,47,91,0,12,12,4,0,0,29,378,4,0,0,4,2,0,0
42,0,0,42,47,89,2,13,12,4,1,0,32,381,4,0,0,4,2,0,0
43,2,1,44,48,92,1,14,13,5,0,0,37,381,4,0,0,4,2,0,0
44,0,0,44,48,92,1,14,13,5,0,0,37,389,4,0,0,4,2,0,0
45,0,0,44,48,92,1,14,12,6,0,0,39,397,4,0,0,4,2,0,0
46,0,5,44,53,97,0,15,13,7,0,0,39,398,4,0,0,4,2,0,0
47,2,3,46,56,102,3,14,13,7,0,0,39,400,4,0,0,4,2,0,0
48,1,1,47,57,104,5,13,13,5,0,0,39,408,4,0,0,4,2,0,0
49,10,0,57,57,114,7,14,14,5,0,0,39,413,4,0,0,4,2,0,0
