round,p1_gold_this,p2_gold_this,p1_cum,p2_cum,total_cum,p1_pos_r,p1_pos_c,p2_pos_r,p2_pos_c,p1_bombs,p2_bombs,enemy_cum,gold_on_map,k,order,vp,p1_steps,p2_steps,p1_collisions,p2_collisions,vision_cost,cum_vision_cost,snap_valid,snap_win_begin,snap_win_end,snap_r1_gold,snap_r1_occ,snap_r2_gold,snap_r2_occ,snap_r3_gold,snap_r3_occ,snap_r4_gold,snap_r4_occ,snap_r5_gold,snap_r5_occ
0,5,0,5,0,5,1,16,15,0,0,0,0,85,3,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,4,0,4,2,15,15,3,0,0,0,98,2,1,1,2,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,0,6,0,6,5,12,15,3,0,0,0,113,6,1,2,6,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
3,12,0,17,0,17,7,11,15,3,0,0,0,122,6,0,1,6,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0
4,11,0,26,0,26,8,10,15,3,0,0,2,130,6,1,2,6,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0
5,7,0,31,0,31,8,9,15,3,0,0,2,135,6,0,2,6,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0
6,15,0,44,0,44,8,6,15,4,0,0,0,150,5,1,2,5,1,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,4,50,4,54,9,7,12,5,0,0,0,153,2,0,1,2,4,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0
8,13,5,62,9,71,9,9,12,6,0,0,0,153,5,0,1,5,1,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0
9,17,0,77,9,86,9,11,12,6,0,0,3,158,6,1,2,6,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,15,77,24,101,8,11,9,4,0,0,9,152,1,1,0,1,5,0,0,0,14,1,0,10,24,0,33,0,29,0,30,0,36,0
11,9,4,86,28,114,8,10,8,4,0,0,9,155,5,0,0,5,1,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0
12,9,7,93,35,128,8,8,9,3,0,0,9,169,4,0,2,4,2,0,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,0,105,35,140,10,9,9,3,0,0,9,178,6,0,1,6,0,0,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,9,103,44,147,10,9,8,5,0,0,13,182,0,0,2,0,6,0,0,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0
15,6,6,108,50,158,11,8,8,5,0,0,13,193,4,1,1,4,2,0,0,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0
16,15,0,121,50,171,9,11,8,5,0,0,15,183,6,1,2,6,0,0,0,2,22,0,0,0,0,0,0,0,0,0,0,0,0,0
17,14,0,133,50,183,6,10,8,5,1,0,15,184,6,0,0,6,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
18,6,12,139,62,201,7,9,7,4,0,0,18,194,2,0,0,2,4,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
19,0,5,139,67,206,7,9,8,5,0,0,26,197,0,1,0,0,6,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0
20,10,0,147,67,214,7,10,8,5,0,0,26,199,6,1,2,6,0,0,0,2,24,1,10,20,51,0,45,0,28,0,35,0,40,0
21,1,5,146,72,218,7,9,8,7,0,0,26,219,1,1,2,1,5,0,0,2,26,0,0,0,0,0,0,0,0,0,0,0,0,0
22,12,1,156,73,229,11,8,8,8,0,0,30,215,5,0,2,5,1,0,0,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0
23,16,0,170,73,243,10,9,8,8,0,0,30,215,6,1,2,6,0,0,0,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0
