round,p1_gold_this,p2_gold_this,p1_cum,p2_cum,total_cum,p1_pos_r,p1_pos_c,p2_pos_r,p2_pos_c,p1_bombs,p2_bombs,enemy_cum,gold_on_map,k,order,vp,p1_steps,p2_steps,p1_collisions,p2_collisions,vision_cost,cum_vision_cost,snap_valid,snap_win_begin,snap_win_end,snap_r1_gold,snap_r1_occ,snap_r2_gold,snap_r2_occ,snap_r3_gold,snap_r3_occ,snap_r4_gold,snap_r4_occ,snap_r5_gold,snap_r5_occ
0,5,0,5,0,5,1,16,15,0,0,0,0,85,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,5,0,5,1,16,15,0,0,0,0,98,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,5,0,5,1,16,15,0,0,0,0,117,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,5,0,5,1,16,15,0,0,0,0,138,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,5,0,5,1,16,15,2,0,0,2,157,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,3,4,3,7,1,16,14,2,0,0,2,166,3,0,1,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,2,4,5,9,1,16,12,2,0,0,0,189,3,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,1,4,6,10,1,16,12,4,0,0,0,204,3,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,3,4,9,13,1,16,11,4,0,0,0,221,3,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,2,4,11,15,1,16,10,4,0,0,3,242,3,0,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,2,3,13,16,1,16,9,4,0,0,9,255,3,0,1,3,3,0,0,1,2,1,0,10,35,0,49,0,65,0,41,0,65,0
11,0,4,1,17,18,0,14,8,4,1,0,9,270,3,0,0,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,3,2,20,22,0,13,8,5,0,0,9,283,3,0,0,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13,4,1,6,21,27,0,11,7,5,0,0,9,279,3,0,0,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0,4,4,25,29,3,11,7,4,1,0,13,276,3,0,0,3,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
15,1,5,4,30,34,4,11,6,4,0,0,13,277,3,0,1,3,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
16,5,1,9,31,40,4,10,7,4,0,0,13,280,3,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
17,5,5,14,36,50,4,9,6,4,0,0,13,280,3,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
18,3,5,17,41,58,3,9,7,4,0,0,13,291,3,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
19,1,5,18,46,64,4,9,6,4,0,0,21,279,3,0,0,3,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
20,5,2,22,48,70,4,8,7,4,0,0,21,282,3,0,1,3,3,0,0,1,4,1,10,20,45,0,50,0,65,0,61,0,61,0
21,4,2,26,50,76,4,7,6,4,0,0,21,296,3,0,0,3,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
22,3,5,29,53,82,3,7,4,4,0,1,25,293,3,0,0,3,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
23,3,5,32,58,90,4,7,4,3,0,0,25,289,3,0,0,3,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
24,5,5,37,63,100,4,6,3,3,0,0,30,291,3,0,0,3,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
25,2,1,38,64,102,4,7,2,4,0,0,30,295,3,0,1,3,3,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
26,4,1,42,65,107,4,6,4,4,0,0,30,293,3,0,0,3,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
27,3,5,45,70,115,4,7,5,4,0,0,30,299,3,0,0,3,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
28,1,1,46,71,117,4,6,4,4,0,0,30,300,3,0,0,3,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
