round,p1_gold_this,p2_gold_this,p1_cum,p2_cum,total_cum,p1_pos_r,p1_pos_c,p2_pos_r,p2_pos_c,p1_bombs,p2_bombs,enemy_cum,gold_on_map,k,order,vp,p1_steps,p2_steps,p1_collisions,p2_collisions,vision_cost,cum_vision_cost,snap_valid,snap_win_begin,snap_win_end,snap_r1_gold,snap_r1_occ,snap_r2_gold,snap_r2_occ,snap_r3_gold,snap_r3_occ,snap_r4_gold,snap_r4_occ,snap_r5_gold,snap_r5_occ
0,0,0,0,0,0,0,15,16,0,1,0,0,90,4,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,0,5,0,5,0,16,16,0,0,0,0,98,4,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,5,0,5,1,15,16,0,0,0,0,117,4,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,5,0,5,3,14,15,0,0,0,0,138,4,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,5,0,5,2,15,15,0,0,0,2,157,4,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,4,0,4,4,16,15,0,0,0,2,169,4,0,1,4,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,4,0,4,3,16,16,0,0,0,0,194,4,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,4,0,4,4,16,15,0,0,0,0,210,4,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,4,0,4,3,16,16,0,0,0,0,231,4,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,4,0,4,3,16,15,0,0,0,3,254,4,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,3,0,3,5,15,15,0,0,0,9,263,4,0,1,4,2,0,0,1,2,1,0,10,29,0,52,0,64,0,48,0,70,0
11,0,0,1,0,1,7,14,15,1,1,0,14,268,4,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0,0,1,0,1,8,13,15,0,0,0,14,283,4,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0,0,1,0,1,7,13,15,0,0,0,14,283,4,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
14,9,0,10,0,10,6,11,15,0,0,0,18,270,4,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
15,5,0,12,0,12,7,9,16,0,1,0,19,277,4,0,1,4,2,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
16,7,0,19,0,19,5,10,15,0,0,0,21,276,4,0,0,4,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
17,5,0,22,0,22,3,11,16,0,1,0,21,282,4,0,0,4,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
18,4,0,26,0,26,0,12,16,0,0,0,24,288,4,0,0,4,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
19,4,0,30,0,30,0,10,15,1,0,0,34,274,4,0,0,4,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,29,0,29,0,8,15,2,0,0,34,278,4,0,1,4,2,0,0,1,4,1,10,20,35,0,55,0,68,0,51,0,69,0
21,0,0,29,0,29,0,5,15,3,0,0,34,292,4,0,0,4,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,29,0,29,0,5,13,3,0,0,35,291,4,0,0,4,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,29,0,29,3,4,14,2,0,0,35,293,4,0,0,4,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
24,5,0,34,0,34,3,3,13,2,0,0,39,295,4,0,0,4,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,33,0,33,4,2,12,3,0,0,46,291,4,0,1,4,2,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,33,0,33,4,1,12,2,0,0,46,291,4,0,0,4,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,33,0,33,1,0,12,3,0,0,46,302,4,0,0,4,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,33,0,33,1,1,13,3,0,0,46,302,4,0,0,4,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
29,2,0,35,0,35,2,2,13,3,0,0,51,295,4,0,0,4,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,34,0,34,4,2,13,1,0,0,51,310,4,0,1,4,2,0,0,1,6,1,20,30,36,0,62,0,68,0,57,0,87,0
31,2,0,36,0,36,3,4,13,2,0,0,51,308,4,0,0,4,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0,0,36,0,36,5,3,14,2,0,0,51,312,4,0,0,4,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
33,4,0,38,0,38,4,3,15,3,1,0,51,315,4,0,0,4,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0,0,38,0,38,3,2,14,3,0,0,55,313,4,0,0,4,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0,0,37,0,37,3,2,14,5,0,0,62,306,4,0,1,4,2,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0,0,37,0,37,5,1,14,4,0,0,62,319,4,0,0,4,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
37,3,0,40,0,40,5,0,14,4,0,0,65,313,4,0,0,4,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0,0,40,0,40,7,0,14,4,0,0,65,313,4,0,0,4,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0,0,40,0,40,6,0,15,5,0,0,65,323,4,0,0,4,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
